Sim	LOG10_THETA	H_1	S_1	prS_1	D_1	FS_1	Pi_1
32036	-1.29107	1	4266	4266	1.14209	2.0276	1529.76
32037	-1.26228	1	3119	3119	-0.458147	1.30179	783.137
32038	-3.03053	0.942105	53	53	-1.69304	-1.43024	8.66842
32039	-3.64985	0.731579	17	17	-1.24259	-0.649113	3.2
32040	-2.21644	0.994737	459	459	-0.329527	0.285589	119.174
32041	-2.85054	0.978947	143	143	1.21939	0.690433	52.1947
32042	-3.57717	0.910526	17	17	-0.35514	-0.516181	4.33684
32043	-3.14823	0.968421	74	74	0.742877	0.37109	24.6579
32044	-3.96091	0.878947	12	12	-0.333256	-1.67244	3.06842
32045	-3.58919	0.910526	10	10	-0.395381	-3.53641	2.5
32046	-3.22633	0.905263	24	24	-0.403222	-0.228647	6.05789
32047	-2.03603	0.994737	515	515	-0.491644	0.423344	128.089
32048	-2.66452	0.994737	128	128	0.336533	-2.35446	39.0211
32049	-2.0643	0.989474	694	694	1.48312	3.5291	264.947
32050	-2.92037	0.968421	65	65	-0.685124	-1.16081	15.2316
32051	-2.03369	0.989474	569	569	0.0259468	2.30823	161.379
32052	-1.7947	1	1147	1147	-0.294446	0.154539	300.584
32053	-1.96532	1	784	784	0.410243	-0.134906	242.642
32054	-2.5904	0.989474	231	231	-0.449839	-0.0752826	58.0684
32055	-3.57279	0.9	19	19	0.529434	-0.203072	6.10526
32056	-3.51043	0.894737	30	30	1.20114	0.994033	11.0474
32057	-2.10226	0.989474	420	420	-0.783708	1.10172	96.1684
32058	-3.0959	0.947368	73	73	-0.912946	0.629147	15.9684
32059	-1.12901	1	5426	5426	1.31455	2.31385	2008.54
32060	-3.82391	0.878947	10	10	-0.127668	-2.11098	2.71579
32061	-2.31755	0.994737	236	236	0.766091	-0.55259	78.7737
32062	-1.84379	1	840	840	-0.596071	-0.390064	203.063
32063	-1.1136	1	6527	6527	0.833835	2.41128	2205.32
32064	-3.50619	0.910526	27	27	1.45349	2.58835	10.4526
32065	-2.84055	0.957895	114	114	0.590806	1.62041	36.7421
32066	-3.55301	0.842105	15	15	-2.06868	-6.52799	1.85789
32067	-2.13693	0.994737	617	617	1.11571	1.42159	220.3
32068	-1.47991	1	1945	1945	-0.131632	0.857931	531.026
32069	-3.36932	0.921053	33	33	-0.669987	-1.00514	7.72105
32070	-3.78397	0.778947	10	10	0.270636	0.0461876	3.03684
32071	-2.35073	0.994737	305	305	-0.373647	-0.566627	78.2632
32072	-2.24908	0.989474	427	427	-0.0166344	1.60971	119.879
32073	-2.38214	0.978947	269	269	0.551957	3.32928	85.8737
32074	-3.89446	0.805263	9	9	-0.0213832	-0.508131	2.52105
32075	-3.04944	0.963158	66	66	0.161388	0.441391	19.3421
32076	-2.22361	0.984211	372	372	-1.7794	1.06517	60.1474
32077	-2.93659	0.978947	71	71	0.13774	-1.03556	20.6895
32078	-1.24605	1	5774	5774	1.71675	2.45197	2293.34
32079	-2.46515	1	253	253	-0.522929	-2.70683	62.3526
32080	-1.63583	1	1632	1632	-0.00398735	0.686457	459.574
32081	-2.20082	0.968421	363	363	-0.147574	5.42868	98.7
32082	-3.0391	0.942105	62	62	0.13752	-0.596814	18.0684
32083	-1.44109	1	1977	1977	0.568735	1.06108	632.837
32084	-3.71165	0.694737	9	9	1.46978	2.59709	3.62105
32085	-1.18702	0.994737	2865	2865	-0.707929	3.45471	671.268
32086	-2.35177	0.984211	236	236	-0.546944	0.958581	57.7737
32087	-3.00136	0.952632	44	44	-0.710657	-1.70944	10.2
32088	-1.22161	0.994737	3955	3955	1.33229	4.93847	1468.79
32089	-3.18028	0.926316	70	70	0.304253	1.59925	21.2053
32090	-1.76439	1	863	863	-0.545505	-0.329984	211.563
32091	-3.22385	0.952632	38	38	-0.320412	-1.84289	9.84737
32092	-2.51071	0.994737	252	252	0.326586	-0.613096	76.6053
32093	-1.25958	0.994737	4966	4966	1.81797	5.54104	2006.22
32094	-2.78767	0.963158	164	164	1.03857	3.20925	57.8158
32095	-2.98354	0.942105	42	42	-0.0485035	-0.394534	11.6947
32096	-2.17817	1	288	288	-0.874056	-2.63093	64.1474
32097	-1.82099	1	1115	1115	-0.684159	-0.0241767	262.963
32098	-3.55024	0.884211	15	15	-0.26335	-1.70875	3.92632
32099	-3.90876	0.694737	5	5	-0.968724	-1.21096	0.963158
32100	-1.92237	0.994737	999	999	0.412387	2.03456	309.311
32101	-2.92918	0.957895	57	57	0.44165	0.179775	17.8211
32102	-3.2612	0.936842	39	39	-0.812791	0.203288	8.74737
32103	-2.75168	0.984211	141	141	-0.486274	-0.378787	35.0684
32104	-1.40705	1	3583	3583	1.37731	1.88803	1341.49
32105	-1.20039	1	4570	4570	0.845019	2.03984	1547.56
32106	-2.41924	1	136	136	-1.40931	-6.10082	25.2579
32107	-3.38654	0.863158	11	11	-0.500335	-1.23201	2.66316
32108	-2.89733	0.942105	90	90	-0.356276	0.17918	23.1632
32109	-3.7614	0.731579	14	14	0.0206369	0.0218201	3.96842
32110	-3.12054	0.963158	41	41	-1.2058	-5.12226	8.06316
32111	-1.69155	0.994737	1307	1307	-0.341076	2.19738	338.421
32112	-3.03591	0.973684	49	49	-1.9493	-5.88203	7.11579
32113	-3.05726	0.968421	62	62	-1.6472	-2.61254	10.3789
32114	-1.84222	1	1072	1072	0.134325	0.202653	311.853
32115	-1.0967	1	5147	5147	0.759306	2.14719	1713.31
32116	-2.99274	0.973684	89	89	0.332343	-0.203328	27.1211
32117	-1.18343	1	3495	3495	-0.415003	1.44074	887.684
32118	-2.48744	0.963158	175	175	-0.657888	3.12692	41.5
32119	-2.74957	0.947368	108	108	1.58576	3.19207	42.1737
32120	-3.86771	0.742105	18	18	2.81778	9.46603	8.87368
32121	-3.20922	0.926316	41	41	1.35199	2.2512	15.4737
32122	-1.3456	0.994737	2180	2180	-0.0265234	3.27854	610.589
32123	-3.18805	0.947368	22	22	-1.40875	-6.5872	3.92105
32124	-1.37514	1	4634	4634	2.06002	2.28157	1947.46
32125	-3.74027	0.821053	20	20	1.27319	3.31281	7.52632
32126	-1.4051	1	3001	3001	1.3672	1.69584	1121.58
32127	-3.30399	0.889474	21	21	-0.446752	-0.716632	5.22632
32128	-3.9896	0.889474	8	8	-0.483333	-3.46419	1.93158
32129	-3.32721	0.910526	47	47	0.715834	2.28684	15.6105
32130	-1.65531	1	1667	1667	-0.898839	0.417868	369.137
32131	-2.33793	0.989474	277	277	-0.52383	0.309331	68.2579
32132	-1.30384	0.994737	3364	3364	0.303586	4.23577	1016.83
32133	-3.0662	0.926316	33	33	-0.0341828	0.379042	9.22105
32134	-2.6534	0.963158	287	287	0.128652	6.35973	83.3947
32135	-2.56817	0.984211	216	216	0.538177	1.42224	68.7684
32136	-2.41464	1	174	174	-0.710313	-4.05001	40.6421
32137	-1.50129	0.994737	1915	1915	0.886181	3.40577	653.858
32138	-2.78867	0.984211	137	137	-0.467463	-0.445082	34.2474
32139	-2.00696	0.994737	1055	1055	-0.431651	1.76702	266.732
32140	-2.21508	0.978947	323	323	-0.692107	1.68999	75.9316
32141	-3.51392	0.921053	31	31	0.167473	-0.440536	9.11053
32142	-3.20329	0.947368	53	53	-0.178234	0.261397	14.2789
32143	-2.79618	0.952632	73	73	-0.702314	0.843611	17.0316
32144	-2.7049	0.973684	117	117	0.277566	0.555347	35.2
32145	-1.42276	1	2531	2531	-0.466324	1.06335	634.095
32146	-2.57145	0.984211	277	277	-1.46351	-0.412143	50.6421
32147	-3.18632	0.926316	22	22	-0.664076	-1.62638	5.12632
32148	-1.05517	1	3306	3306	-0.69421	1.29395	777.658
32149	-2.04481	1	659	659	0.665791	-0.304513	215.311
32150	-2.00109	0.994737	869	869	0.480058	1.80913	273.026
32151	-3.86026	0.436842	10	10	-0.891628	1.9384	2.1
32152	-2.40123	0.989474	292	292	1.05134	1.26109	103.074
32153	-2.19518	1	573	573	-0.728275	-1.063	133.384
32154	-1.84686	0.994737	1108	1108	-1.25826	1.40688	218.516
32155	-2.99208	0.942105	20	20	-1.50807	-5.93989	3.4
32156	-2.21554	0.994737	331	331	0.0936822	-0.15292	95.3947
32157	-3.34949	0.942105	19	19	-0.492634	-2.98261	4.65789
32158	-3.95539	0.821053	8	8	0.326918	0.332079	2.47368
32159	-1.46624	1	1854	1854	0.196982	0.892909	547.137
32160	-2.67542	0.973684	126	126	0.883026	2.15383	43.1158
32161	-2.82833	0.978947	65	65	0.0675804	-1.38267	18.6263
32162	-2.59569	0.994737	264	264	0.804898	-0.299595	88.8
32163	-2.16985	0.978947	498	498	-0.398118	4.76524	127
32164	-2.74386	0.963158	106	106	-2.2301	-1.5372	13.6789
32165	-1.21626	1	5821	5821	0.0751662	2.12033	1670.15
32166	-3.79454	0.757895	7	7	0.299189	-0.0632733	2.15263
32167	-3.25556	0.757895	29	29	-0.911846	-0.116503	6.26842
32168	-1.92129	1	598	598	-0.803448	-1.02693	136.179
32169	-2.72049	0.989474	179	179	-1.02589	-1.17558	37.9737
32170	-2.61448	0.968421	160	160	1.21411	3.24226	58.3211
32171	-2.87395	0.984211	111	111	-1.27819	-3.06957	21.5737
32172	-3.77742	0.852632	11	11	0.161902	0.243293	3.24211
32173	-3.78597	0.810526	7	7	-0.0253165	-0.32869	1.95789
32174	-1.55711	0.994737	2307	2307	-1.14299	2.80774	473.053
32175	-1.66774	1	1837	1837	1.57901	1.19621	712.789
32176	-1.32027	1	2397	2397	-0.312532	1.04735	625.295
32177	-2.7179	0.968421	137	137	0.556932	2.20944	43.8211
32178	-2.75211	0.963158	81	81	0.105574	1.0602	23.4211
32179	-3.87193	0.789474	6	6	-0.330568	-2.07917	1.51579
32180	-3.68217	0.836842	12	12	0.700091	0.0794096	4.04211
32181	-1.61463	1	1792	1792	0.133163	0.835885	521.153
32182	-3.11965	0.957895	39	39	-0.795645	-1.37759	8.79474
32183	-2.77547	0.989474	88	88	0.107037	-2.44238	25.4526
32184	-2.09695	1	630	630	0.288175	-0.490828	189.811
32185	-3.25505	0.952632	66	66	1.05023	1.95935	23.4105
32186	-2.62802	1	139	139	-0.021195	-4.20402	38.9789
32187	-1.7985	0.984211	1978	1978	-0.414857	5.21648	502.379
32188	-3.6818	0.921053	22	22	0.19116	-1.61929	6.51053
32189	-2.00134	1	444	444	-0.917285	-1.65211	97.6684
32190	-2.26941	0.978947	303	303	-0.0737719	3.24849	83.8947
32191	-3.41522	0.915789	26	26	0.506131	0.0227401	8.28421
32192	-1.21568	1	3377	3377	-0.886268	1.2546	750.784
32193	-2.83892	0.978947	79	79	-0.626562	-2.36464	18.8526
32194	-2.15318	0.994737	671	671	-1.18621	0.529793	135.516
32195	-2.79019	0.973684	97	97	-1.57501	-1.73095	16.8526
32196	-1.5426	1	2685	2685	0.885694	1.47604	916.626
32197	-1.90723	0.989474	1499	1499	-0.374398	4.49904	384.784
32198	-1.98303	0.994737	540	540	-0.836308	0.326821	121.763
32199	-3.44015	0.910526	15	15	-1.3199	-5.80038	2.71579
32200	-1.73888	1	971	971	-1.87967	-0.853575	150.868
32201	-1.85087	0.984211	786	786	-0.188993	2.9652	211.547
32202	-1.89538	0.994737	474	474	-0.414015	0.304744	120.368
32203	-2.35281	0.984211	268	268	-0.714183	1.17058	62.5842
32204	-1.93129	0.994737	1271	1271	1.60965	2.89421	495.863
32205	-3.70862	0.789474	25	25	0.384814	3.44839	7.74737
32206	-2.43426	0.989474	200	200	-1.57902	-1.41584	34.9368
32207	-3.04537	0.963158	69	69	-2.03346	-1.88834	9.73158
32208	-3.01303	0.968421	41	41	-1.12587	-3.63665	8.29474
32209	-3.77736	0.684211	5	5	-1.23154	-2.8025	0.842105
32210	-2.398	1	631	631	1.46046	-0.15046	239.953
32211	-2.53673	0.989474	217	217	1.24502	0.66356	79.4895
32212	-2.18992	1	377	377	-0.344038	-1.65553	97.5053
32213	-1.25231	1	2192	2192	-0.77882	0.794336	503.116
32214	-1.40606	0.994737	1956	1956	-0.204471	2.99737	524.453
32215	-3.55459	0.857895	11	11	1.12516	0.964529	4.08421
32216	-3.75007	0.742105	11	11	-0.831453	0.213648	2.37368
32217	-1.33952	1	2832	2832	0.00571392	1.32462	799.342
32218	-1.14816	1	3752	3752	-0.144574	1.5941	1021.13
32219	-2.86292	0.984211	115	115	-0.149066	-0.706837	31.2421
32220	-2.6476	0.978947	150	150	0.0575397	1.12743	42.8684
32221	-3.3326	0.8	31	31	0.619348	1.51992	10.1158
32222	-2.47654	0.989474	278	278	-0.668427	0.222491	65.7842
32223	-2.40768	0.978947	256	256	0.597423	1.91782	82.5158
32224	-2.60176	0.984211	190	190	0.604231	1.11779	61.3526
32225	-1.25898	0.994737	2896	2896	0.0985314	3.86452	835.468
32226	-1.16645	1	7812	7812	-0.370426	2.31337	2007.61
32227	-3.31544	0.842105	39	39	0.246409	3.07735	11.6737
32228	-3.35454	0.884211	16	16	-0.281434	-1.49345	4.16842
32229	-1.16944	1	2598	2598	-1.189	0.843884	524.711
32230	-2.93717	0.957895	78	78	0.270516	1.06315	23.4421
32231	-1.54906	0.994737	1115	1115	0.261911	2.17318	333.932
32232	-3.40967	0.563158	3	3	-0.227174	-0.590579	0.773684
32233	-1.30955	1	2601	2601	-0.562603	1.06463	634.805
32234	-2.52086	0.989474	173	173	-0.928885	-1.18578	37.8368
32235	-2.33008	0.989474	273	273	-0.573537	0.242775	66.3526
32236	-3.22119	0.863158	42	42	-1.28064	0.710572	8.04211
32237	-2.34938	0.978947	237	237	0.593282	1.7043	76.3316
32238	-2.03652	0.989474	339	339	0.79185	1.48713	113.695
32239	-3.91149	0.868421	18	18	0.304435	0.240361	5.48421
32240	-1.7959	0.994737	563	563	-0.639287	0.514677	134.432
32241	-1.94962	1	368	368	-0.545932	-1.81985	90.1579
32242	-3.77601	0.768421	10	10	-0.539031	-0.674208	2.38421
32243	-3.72076	0.773684	8	8	1.23157	2.01066	3.07895
32244	-1.5344	0.994737	2052	2052	-0.109413	3.12926	563.305
32245	-2.31771	0.989474	355	355	0.287231	1.34612	106.953
32246	-1.89696	1	502	502	-0.0879504	-0.997518	138.521
32247	-3.14784	0.936842	42	42	0.546261	1.70724	13.4579
32248	-2.79477	0.963158	139	139	0.78993	2.42812	46.6684
32249	-2.19544	0.994737	343	343	-1.1491	-0.811619	70.0474
32250	-3.55071	0.910526	35	35	-0.986533	0.433303	7.40526
32251	-2.40419	0.957895	242	242	0.782791	6.21174	81.0474
32252	-3.96088	0.594737	5	5	0.50534	1.22283	1.64211
32253	-2.91436	0.921053	50	50	0.521838	2.36719	15.9211
32254	-1.95096	0.989474	508	508	-0.759743	1.55662	117.163
32255	-1.7483	0.994737	1152	1152	-1.18757	1.52041	232.679
32256	-1.37241	0.994737	3052	3052	-0.391788	3.73524	779.921
32257	-1.95041	0.994737	729	729	1.0239	1.69115	255.753
32258	-2.03802	1	762	762	0.387816	-0.181597	234.684
32259	-2.30554	0.984211	295	295	0.0404086	1.9657	83.9579
32260	-3.89788	0.568421	4	4	-1.20571	-2.21843	0.657895
32261	-1.694	1	1818	1818	0.990934	1.06236	633.547
32262	-2.90744	0.957895	64	64	-0.0906651	-0.674621	17.6368
32263	-3.29316	0.957895	28	28	-0.300653	-3.10729	7.28421
32264	-3.05969	0.952632	60	60	-0.185747	-0.138113	16.1368
32265	-3.61967	0.842105	15	15	-0.212819	0.884502	3.98421
32266	-3.85879	0.736842	7	7	0.632464	0.188215	2.35263
32267	-3.97257	0.489474	3	3	-0.975242	-1.40574	0.536842
32268	-2.9731	0.957895	63	63	-1.06086	-0.0167677	13.1158
32269	-1.18753	1	4931	4931	-0.491584	1.79263	1227.07
32270	-3.58158	0.752632	10	10	1.23701	4.2176	3.81579
32271	-1.99115	1	536	536	0.015205	-0.845235	151.632
32272	-2.74898	0.963158	97	97	-1.09844	0.552707	20.0263
32273	-1.56472	1	1827	1827	0.433177	0.936853	568.179
32274	-2.49733	0.994737	246	246	-0.47076	-1.11452	61.4947
32275	-2.65709	0.978947	94	94	-0.519302	-1.63593	23.1421
32276	-2.25234	1	378	378	-0.230472	-1.59072	100.663
32277	-1.32284	1	3052	3052	0.132596	1.44045	887.458
32278	-1.73914	1	1569	1569	0.688659	0.821685	514.905
32279	-1.90832	0.994737	785	785	-0.167172	1.35577	212.432
32280	-2.94038	0.989474	77	77	0.290324	-2.77716	23.2474
32281	-2.84098	0.973684	45	45	-1.24506	-3.38265	8.74211
32282	-3.11424	0.963158	39	39	-0.549896	-4.22901	9.47368
32283	-3.06669	0.947368	70	70	0.744122	1.04836	23.3368
32284	-3.77359	0.726316	7	7	1.92171	3.35103	3.12632
32285	-1.11373	1	6631	6631	1.03874	2.46921	2331.72
32286	-2.64696	0.984211	90	90	-0.964285	-2.25712	19.4
32287	-3.80232	0.831579	11	11	0.697712	0.658709	3.71053
32288	-2.74517	0.994737	94	94	-0.316371	-4.08024	24.4526
32289	-2.25551	0.994737	259	259	-0.338757	-0.910911	67.0632
32290	-3.99301	0.505263	6	6	2.52571	7.39746	3.03158
32291	-1.43198	1	2148	2148	0.715771	1.18987	708.795
32292	-2.49551	0.989474	323	323	1.20536	1.56057	117.363
32293	-1.16703	0.994737	3025	3025	0.00140967	3.90349	852.942
32294	-3.10142	0.894737	33	33	-0.70345	-0.244836	7.64211
32295	-2.67137	0.989474	224	224	1.49277	0.839874	85.8105
32296	-3.65345	0.794737	23	23	1.14643	5.25134	8.41579
32297	-2.98384	0.957895	72	72	0.547446	1.00369	23.0211
32298	-1.92951	1	1080	1080	-0.559943	-0.0202072	263.732
32299	-3.27266	0.926316	33	33	0.405303	-0.0457422	10.2579
32300	-3.57502	0.794737	15	15	-1.33368	-2.13246	2.7
32301	-2.0631	0.989474	1079	1079	0.254899	4.03593	322.642
32302	-2.42267	0.984211	157	157	-0.67369	-0.226422	37.0526
32303	-1.0225	1	6940	6940	0.324438	2.36399	2107.41
32304	-3.26403	0.747368	27	27	0.681001	1.95179	8.94211
32305	-1.37566	1	2280	2280	-0.297335	0.994306	597.1
32306	-2.08712	0.984211	492	492	0.402528	3.71091	152.037
32307	-1.55145	0.994737	2519	2519	1.6767	4.19245	993.868
32308	-3.83386	0.805263	22	22	0.0350713	1.52945	6.25789
32309	-3.86956	0.931579	14	14	-0.877718	-3.89257	3
32310	-1.24231	1	6452	6452	0.493954	2.32633	2032.68
32311	-3.02476	0.963158	85	85	0.95562	0.929034	29.5526
32312	-1.05519	1	5427	5427	0.0832741	2.04835	1560.06
32313	-1.65631	0.994737	1267	1267	-0.880785	1.86796	282.068
32314	-2.46718	0.989474	216	216	1.02783	0.557958	75.9421
32315	-3.42091	0.942105	16	16	-1.02315	-4.73722	3.26842
32316	-1.67042	1	974	974	-0.921145	-0.312249	214.163
32317	-1.98908	1	691	691	-0.0860138	-0.483228	190.768
32318	-2.01751	1	1065	1065	1.48006	0.536679	406.247
32319	-3.28541	0.894737	111	111	1.72678	7.96556	44.4105
32320	-1.29849	1	2900	2900	-0.910478	1.07395	640
32321	-2.13584	0.989474	467	467	0.981108	2.32538	162.542
32322	-2.55844	0.989474	167	167	-0.624395	-1.03217	39.9789
32323	-2.65091	0.978947	128	128	-0.434758	0.305071	32.2789
32324	-1.50212	1	3455	3455	0.660462	1.70121	1127.17
32325	-1.20587	1	3630	3630	-0.379831	1.49259	930.553
32326	-3.63412	0.936842	20	20	-0.358671	-2.58404	5.10526
32327	-3.88466	0.442105	17	17	-1.09057	2.3563	3.39474
32328	-3.95985	0.778947	15	15	1.22961	3.20372	5.63684
32329	-3.1435	0.963158	55	55	-1.23213	-1.50671	10.7737
32330	-2.53496	0.984211	135	135	-0.931887	-0.877977	29.4684
32331	-3.13007	0.905263	56	56	1.10901	2.33746	20.1158
32332	-3.892	0.842105	9	9	0.32822	-0.218725	2.77895
32333	-2.59791	1	169	169	-1.2852	-4.88255	32.8632
32334	-1.54913	1	1784	1784	0.0758963	0.814916	511.958
32335	-3.6138	0.794737	14	14	1.44629	4.45118	5.50526
32336	-1.78154	0.989474	1029	1029	-1.03222	3.04605	218.574
32337	-2.0462	0.994737	510	510	0.286613	0.763519	153.611
32338	-2.33127	0.984211	547	547	1.7376	4.88025	218.258
32339	-1.58337	1	2113	2113	0.0797051	1.01308	606.911
32340	-3.52361	0.889474	10	10	-0.192964	-1.23201	2.66316
32341	-3.37088	0.826316	13	13	-0.246012	-0.445401	3.41579
32342	-2.71489	0.978947	185	185	0.412162	2.0019	57.3263
32343	-2.19962	0.994737	253	253	-0.65685	-1.17153	60.0579
32344	-2.17303	0.989474	415	415	-0.916583	0.982394	91.3
32345	-2.66136	0.984211	196	196	-0.535835	0.475478	48.1158
32346	-1.77527	0.989474	989	989	-0.531832	3.3144	243.374
32347	-1.617	1	1734	1734	-0.506321	0.605362	429.737
32348	-2.10182	0.994737	406	406	0.47826	0.415294	127.547
32349	-3.80314	0.878947	18	18	-0.0194904	0.790222	5.04737
32350	-3.37472	0.878947	25	25	0.0176895	1.09392	7.07895
32351	-2.60206	0.984211	177	177	0.404949	-0.218015	54.7632
32352	-3.97677	0.736842	6	6	-0.528921	-0.237156	1.41053
32353	-1.04426	1	4559	4559	0.342327	1.9258	1389.88
32354	-1.30792	1	1789	1789	-0.836688	0.528755	403.637
32355	-2.04571	0.994737	805	805	0.372607	1.62901	247.1
32356	-2.82505	0.968421	80	80	-0.722482	-2.42362	18.5632
32357	-3.50205	0.731579	15	15	-0.470067	0.640886	3.68947
32358	-1.92283	1	827	827	1.34006	0.185245	307.716
32359	-2.41623	0.994737	747	747	1.75847	1.97337	299.016
32360	-1.39048	0.994737	4596	4596	1.68341	5.34711	1815.22
32361	-1.43463	1	2504	2504	1.12445	1.4498	895.021
32362	-1.47075	0.994737	1307	1307	-0.464175	2.13851	327.6
32363	-3.04637	0.926316	96	96	0.706326	3.16724	31.7158
32364	-1.39241	1	2617	2617	-0.800466	0.993879	596.879
32365	-1.78291	1	1637	1637	0.729059	0.881159	541.663
32366	-3.69404	0.826316	25	25	0.194025	3.23478	7.4
32367	-3.76416	0.889474	13	13	-0.746185	-2.87525	2.91053
32368	-2.83317	0.963158	56	56	-0.683394	-0.818124	13.1158
32369	-1.80173	0.984211	615	615	-0.838906	1.94786	138.584
32370	-3.79999	0.9	15	15	0.903453	0.929139	5.26316
32371	-1.22095	1	3667	3667	0.00160192	1.60773	1034.01
32372	-3.10631	0.957895	43	43	-0.220261	-0.464102	11.4526
32373	-1.34511	0.994737	2521	2521	-1.23741	2.91298	500.953
32374	-2.9692	0.978947	57	57	-0.710992	-2.66057	13.2421
32375	-1.60369	1	1686	1686	0.620597	0.889579	545.579
32376	-1.37424	0.994737	3629	3629	0.545649	4.4797	1155.94
32377	-3.94837	0.784211	11	11	1.10709	3.05924	4.06842
32378	-2.95492	0.984211	97	97	-0.144517	-1.21414	26.3789
32379	-3.9281	0.805263	6	6	-0.796697	-1.55231	1.26842
32380	-1.71446	1	1604	1604	-1.40699	0.153642	300.379
32381	-2.52862	0.978947	278	278	-0.264744	1.59717	73.3789
32382	-3.36184	0.984211	48	48	-0.838679	-4.99562	10.7053
32383	-2.10171	1	416	416	-1.05414	-1.88065	87.6579
32384	-1.5404	1	1333	1333	-1.44496	-0.114731	246.189
32385	-1.41011	1	2660	2660	-1.14266	0.889455	545.521
32386	-1.72092	1	1374	1374	-0.862906	0.184552	307.553
32387	-3.63825	0.873684	17	17	0.376185	0.935821	5.27368
32388	-1.45701	1	1950	1950	-0.147347	0.856396	530.332
32389	-3.86949	0.542105	2	2	0.0632525	0.0664083	0.578947
32390	-3.00993	0.921053	104	104	-0.619173	3.24033	24.9
32391	-2.16119	0.978947	350	350	-0.958643	2.91125	75.9842
32392	-1.78411	0.989474	1263	1263	0.556712	4.62408	403.295
32393	-1.4723	1	2616	2616	-1.18442	0.853784	529.153
32394	-3.05969	0.894737	32	32	-1.00987	-0.682525	6.70526
32395	-1.09923	1	3838	3838	-0.178256	1.60967	1035.85
32396	-3.18376	0.910526	42	42	-1.54873	-2.11358	7.24737
32397	-1.54956	0.994737	2121	2121	0.836995	3.57816	717.168
32398	-1.78857	0.994737	1047	1047	0.749838	2.24768	347.942
32399	-2.29283	0.989474	375	375	0.357181	1.50843	114.747
32400	-1.3731	1	4053	4053	-0.494865	1.57965	1007.67
32401	-2.08791	0.989474	398	398	-0.809317	0.960573	90.4368
32402	-1.64222	1	1878	1878	0.344246	0.946275	572.811
32403	-2.85134	0.963158	68	68	-0.316974	0.153255	17.6737
32404	-1.52047	1	1645	1645	0.529438	0.838317	522.232
32405	-3.9015	0.847368	7	7	0.0886988	-0.232782	2.02632
32406	-2.12084	0.994737	798	798	1.16833	1.9037	287.705
32407	-2.6766	0.984211	77	77	0.391308	-1.54527	23.7842
32408	-2.13633	1	487	487	0.055377	-0.990489	139.089
32409	-2.79869	0.957895	73	73	-0.288349	0.404639	19.1211
32410	-2.74764	0.936842	104	104	0.557542	2.27763	33.2895
32411	-3.60113	0.915789	15	15	-1.50365	-3.52692	2.50526
32412	-2.29884	0.984211	429	429	1.7791	4.10908	172.432
32413	-2.8775	0.857895	110	110	0.85868	10.639	37.4737
32414	-2.12186	0.984211	385	385	-1.07917	1.84848	80.4632
32415	-2.5266	0.984211	200	200	-0.335358	0.67147	51.8211
32416	-2.60959	0.978947	152	152	-1.52836	-1.13968	27.0211
32417	-1.19544	1	3640	3640	1.50741	1.92944	1394.65
32418	-1.74499	0.989474	1624	1624	1.46269	5.78328	617.468
32419	-3.93999	0.642105	3	3	0.354656	-0.10782	0.957895
32420	-3.32648	0.894737	26	26	-1.35878	-1.90181	4.76316
32421	-2.5471	0.984211	158	158	-1.09792	-1.61192	32.7263
32422	-2.48031	0.978947	98	98	-0.122383	-1.16502	26.8
32423	-2.33808	0.989474	544	544	-0.306832	2.00649	142.084
32424	-1.83095	1	978	978	0.270454	0.122978	293.468
32425	-1.95708	0.989474	1201	1201	1.34511	4.90115	447.195
32426	-1.335	1	3372	3372	-1.06377	1.19093	709.458
32427	-1.20177	0.994737	2372	2372	0.073922	3.47984	680.379
32428	-3.60547	0.884211	20	20	0.180553	-0.312495	5.90526
32429	-2.67682	0.921053	119	119	-0.611942	3.87683	28.5632
32430	-1.99286	0.994737	1079	1079	1.26792	2.48364	396.184
32431	-2.81767	0.947368	87	87	-0.32461	0.940313	22.5789
32432	-1.15907	1	3220	3220	0.0392432	1.47542	916.111
32433	-1.06202	1	4300	4300	0.365683	1.86891	1317.67
32434	-2.21983	0.994737	316	316	0.959147	0.12259	109.563
32435	-2.43718	0.994737	264	264	0.887054	-0.265734	90.2684
32436	-2.56788	0.984211	135	135	-0.24738	-0.323411	35.7737
32437	-2.57019	0.931579	126	126	0.459871	5.5615	39.4737
32438	-3.30984	0.952632	16	16	-0.814949	-5.7237	3.52105
32439	-2.61027	0.984211	300	300	0.778788	2.46802	100.363
32440	-3.58958	0.836842	14	14	-0.872836	0.0148613	3.00526
32441	-1.17185	1	4662	4662	0.660242	2.02141	1520.85
32442	-3.90755	0.7	6	6	-0.588427	-0.295209	1.37895
32443	-3.88168	0.778947	5	5	-0.225979	-1.46948	1.30526
32444	-1.22487	1	4578	4578	0.289829	1.91784	1379.53
32445	-1.33878	1	2313	2313	1.74274	1.48351	922.879
32446	-1.24122	0.994737	1557	1557	-1.41576	1.92211	290.653
32447	-3.57168	0.842105	42	42	1.64524	8.15805	16.7158
32448	-3.50559	0.931579	24	24	-0.325174	-0.952789	6.19474
32449	-1.96224	1	487	487	-1.51874	-1.88748	87.3842
32450	-2.14454	0.994737	744	744	0.270169	1.44562	223.247
32451	-2.76146	0.968421	100	100	-0.3947	0.47157	25.4789
32452	-2.76492	0.984211	139	139	-0.806782	-0.680177	31.5316
32453	-2.76805	0.963158	132	132	0.960174	3.5381	45.8579
